COMMODITY,TECHNOLOGY,Description,Sector,Fuel,Category 1,Category 2
ELC002,,Not used commodity,,,,
COA,,Coal,,Coal,,
HYD,,Hydro resource,,Hydro,,
SOL,,Solar resource,,Solar,,
WND,,Wind Resource,,Wind,,
ELC003,,Not used commodity,,,,
BIO,,Biomass Resource,,Biomass,,
NORELC,,NOR region Electricity demand,Electricity,,,NOR
VTEELC,,VTE region Electricity demand,Electricity,,,VTE
CENELC,,CEN region Electricity demand,Electricity,,,CEN
SOUELC,,SOU region Electricity demand,Electricity,,,SOU
NORELC003,,NOR electricity after Distribution,,Electricity,After distribution,NOR
VTEELC003,,VTE electricity after Distribution,,Electricity,After distribution,VTE
CENELC003,,CEN electricity after Distribution,,Electricity,After distribution,CEN
SOUELC003,,SOU electricity after Distribution,,Electricity,After distribution,SOU
NORELC002,,NOR electricity after Transmission,,Electricity,After transmission,NOR
VTEELC002,,VTE electricity after Transmission,,Electricity,After transmission,VTE
CENELC002,,CEN electricity after Transmission,,Electricity,After transmission,CEN
SOUELC002,,SOU electricity after Transmission,,Electricity,After transmission,SOU
NORELC001,,NOR electricity from power plants,,Electricity,From power plants,NOR
VTEELC001,,VTE electricity from power plants,,Electricity,From power plants,VTE
CENELC001,,CEN electricity from power plants,,Electricity,From power plants,CEN
SOUELC001,,SOU electricity from power plants,,Electricity,From power plants,SOU
EXPITH,,IPPe exports to Thailand,,Electricity,For export,Thailand
EXPIVN,,IPPe exports to Vietnam,,Electricity,For export,Vietnam
EXPIKH,,IPPe exports to Cambodia,,Electricity,For export,Cambodia
ELECTH,,Not used commodity,,,,
HDGELC,,Electricity for H2 production,,Electricity,H2 production,
HDG001,,Hydrogen commodity produced by the electrolyzers,,H2,From electrolyzers,
HDG002,,"Hydrogen commodity after compression, liquefaction, transport and storage",,H2,"After compression, liquefaction, transport and storage",
HDGEXP,,Hydrogen for Export,,H2,For export,
TRAMCY,,Motocycle passenger demand,Transport,,Passenger,Motorcycle
GAS,,Gasoline,,Gasoline,,
TRAELC001,,Electricity for Transport before chargers,,Electricity,For transport before charger,
TRAELC002,,Electricity for Transport  after chargers,,Electricity,For transport after chargers,
DSL,,Diesel,,Electricity,,
BDL,,Bio Diesel,,Biodiesel,,
ETH,,Ethanol,,Ethanol,,
GASETH,,Blended Gasoline and Ethanol,,Blended gasoline and ethanol,,
DSLBIO,,Blended Dioesel and Bio Diesel,,Blended diesel and biodiesel,,
TRACAR,,Car passenger Demand,Transport,,Passenger,Car
TRABUS,,Bus Passenger Demand,Transport,,Passenger,Bus
TRALDV,,LDV freight Demand,Transport,,Freight,LDV
TRAHDV,,HDV freight Demand,Transport,,Freight,HDV
